id,name,access,alt_name,area:highway,barrier,garden:type,landuse,leaf_cycle,leaf_type,leisure,name:kn,natural,official_name,survey:date,type,latitude,longitude
1315455670,,,,,,,,,,garden,,,,,way,12.9695368,77.5880858
1316469302,,,,,,,,,,garden,,,,,way,12.9800883,77.5973949
1338260821,,,,,,,,,,,,wood,,,way,13.0037215,77.5845212
1341984119,,,,,,,,,,,,wood,,,way,12.9856176,77.5830138
1342699272,,,,,,,,,,,,wood,,,way,12.9923271,77.5806324
1342699289,,,,,,,,,,,,wood,,,way,12.9911741,77.5831157
1348168219,,,,,,,,,,,,wood,,,way,13.0036483,77.6047772
1350961419,,,,,,,,,,garden,,,,,way,12.9833058,77.6036801
1351859098,,,,,,,,,,garden,,,,,way,12.9554256,77.5922838
1352263715,,,,,,,,,,garden,,,,,way,12.9809509,77.5927944
1354824983,,,,,,,,,,garden,,,,,way,12.9804312,77.5883797
1368422467,,,,,,,,,,garden,,,,,way,12.9706124,77.5912978
1368966796,,,,,,,,,,,,wood,,,way,12.9842193,77.583911
1429538620,,,,,,,,,,,,wood,,,way,12.9914885,77.5975063
1482106780,,,,,,,,,,,,wood,,,way,12.9830553,77.5636811
1509732623,,,,,,,,,,garden,,,,,way,12.9608916,77.6060211
1509732624,,,,,,,,,,garden,,,,,way,12.9613712,77.6060814
1512666765,,,,,,,,,,garden,,,,,way,12.9726346,77.5968247
