id,name,access,addr:city,addr:district,addr:housenumber,addr:locality,addr:place,addr:postcode,addr:street,addr:unit,alt_name,barrier,created_by,description,designation,disused:leisure,fee,fence_type,landuse,layer,leisure,location,material,name:ar,name:de,name:en,name:es,name:etymology,name:etymology:description,name:etymology:wikidata,name:fa,name:fr,name:hi,name:ml,name:ta,name:ur,name:zh,noname,official_name,old_name,opening_hours,operator,operator:type,parking,short_name,source,source:boundary,source_ref,toilets:access,tourism,type,wall,website,wheelchair,wikidata,wikimedia_commons,wikipedia,latitude,longitude
80429893,Raj Ghat,,,,,,,,Gandi Smriti,,,,,,,,,,,,park,,,راج غات,,,Memorial de Ghandi,,,,راج گات,,राज घाट,,,,甘地陵,,,,,,,,,,,,,,way,,,,Q1210083,Category:Rajghat,en:Raj Ghat and associated memorials,28.639501,77.2475444
80439675,Indraprastha Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,इंद्रप्रस्थ पार्क,,,,,,,,,,,,,,,,,,way,,,,Q6026969,Category:Indraprastha Park,en:Indraprastha Park,28.6104185,77.2513837
80439679,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6060507,77.244466
80442502,Lodhi Gardens,,,,,,,,,,,,,,,,,,,,park,,,حدائق لودي,Lodi-Gärten,,,,,,باغ‌های لودی,,लोधी उद्यान,,,,洛迪花园,,,,,,,,,,,,,,way,,,,Q2985076,Category:Lodi Gardens,en:Lodi Gardens,28.5898991,77.215817
80678169,Buddha Jayanti Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,Q5348941,,,बुद्ध जयंती उद्यान,ബുദ്ധ ജയന്തി പാർക്ക്,,,佛陀纪念公园,,,,,,,,,,,,,,way,,,,Q4984155,,en:Buddha Jayanti Park,28.610569,77.1771761
80932741,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.645324,77.1861306
80932743,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6451119,77.1846965
80932753,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6472176,77.1817021
80936821,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6546976,77.2056441
80936826,Ajmal Khan Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,Q3595817,,,,,,,,,,,,,,,,,,,,,way,,,,Q19456690,,en:Ajmal Khan Park,28.6537195,77.199316
